game_pk,official_date,away_id,away_score,home_id,home_score
777840,2025-05-20,116,5,138,4
777842,2025-05-20,143,7,115,4
777836,2025-05-20,118,2,137,3
777843,2025-05-20,108,7,133,5
777838,2025-05-20,109,3,119,4
777834,2025-05-21,113,1,134,3
777832,2025-05-21,117,4,139,8
777833,2025-05-21,112,2,146,1
777826,2025-05-21,110,8,158,4
777827,2025-05-21,116,5,138,1
777830,2025-05-21,136,6,145,5
777819,2025-05-21,118,8,137,4
777829,2025-05-21,114,5,142,1
777831,2025-05-21,121,5,111,1
777835,2025-05-21,140,3,147,4
777837,2025-05-21,135,0,141,14
777823,2025-05-21,143,9,115,5
777828,2025-05-21,108,10,133,5
777824,2025-05-21,109,1,119,3
777818,2025-05-22,140,0,147,1
777816,2025-05-22,135,6,141,7
777817,2025-05-22,143,2,115,0
777812,2025-05-22,108,10,133,5
777821,2025-05-22,114,7,116,0
777814,2025-05-22,158,8,134,5
777820,2025-05-22,144,7,120,8
777822,2025-05-22,136,2,117,9
777815,2025-05-23,110,5,111,19
777811,2025-05-23,112,13,113,6
777806,2025-05-23,158,5,134,6
777801,2025-05-23,137,4,120,0
777810,2025-05-23,141,1,139,3
777807,2025-05-23,114,3,116,1
777808,2025-05-23,119,7,121,5
777813,2025-05-23,135,2,144,1
777805,2025-05-23,140,1,145,4
777800,2025-05-23,136,5,117,3
777799,2025-05-23,118,1,142,3
777797,2025-05-23,109,3,138,4
777802,2025-05-23,147,2,115,3
777798,2025-05-23,146,4,108,7
777804,2025-05-23,143,4,133,3
777809,2025-05-24,110,5,111,6
777790,2025-05-24,110,2,111,1
777788,2025-05-24,118,4,142,5
777786,2025-05-24,109,5,138,6
